114114	464	290	464	290	0	1479922399539	210672569431450191479922397828	1536	864	1536	759	
114115	465	298	465	298	0	1479922399586	210672569431450191479922397828	1536	864	1536	759	
114116	466	306	466	306	0	1479922399627	210672569431450191479922397828	1536	864	1536	759	
114117	466	310	466	310	0	1479922399682	210672569431450191479922397828	1536	864	1536	759	
114118	466	310	466	410	0	1479922402318	210672569431450191479922397828	1536	864	1536	759	
114119	468	310	468	410	0	1479922404163	210672569431450191479922397828	1536	864	1536	759	
114120	540	341	540	441	0	1479922404204	210672569431450191479922397828	1536	864	1536	759	
114121	744	414	744	514	0	1479922404252	210672569431450191479922397828	1536	864	1536	759	
114122	921	461	921	561	0	1479922404299	210672569431450191479922397828	1536	864	1536	759	
114123	1012	492	1012	592	0	1479922404347	210672569431450191479922397828	1536	864	1536	759	
114124	1045	498	1045	598	0	1479922404395	210672569431450191479922397828	1536	864	1536	759	
114125	1074	506	1074	606	0	1479922404442	210672569431450191479922397828	1536	864	1536	759	
114126	1120	514	1120	614	0	1479922404491	210672569431450191479922397828	1536	864	1536	759	
114127	1144	516	1144	616	0	1479922404541	210672569431450191479922397828	1536	864	1536	759	
114128	1148	505	1148	605	0	1479922404596	210672569431450191479922397828	1536	864	1536	759	
114129	1148	472	1148	572	0	1479922404645	210672569431450191479922397828	1536	864	1536	759	
114130	1148	464	1148	564	0	1479922404692	210672569431450191479922397828	1536	864	1536	759	
114131	1148	464	1148	564	0	1479922404811	210672569431450191479922397828	1536	864	1536	759	
114132	1148	464	1148	564	1	1479922405088	210672569431450191479922397828	1536	864	1536	759	
114133	1148	464	1148	564	0	1479922405097	210672569431450191479922397828	1536	864	1536	759	
114134	1148	464	1148	564	0	1479922405554	210672569431450191479922397828	1536	864	1536	759	
114189	1146	464	1146	564	0	1479922411950	210672569431450191479922397828	1536	864	1536	759	
114190	1140	466	1140	566	0	1479922411996	210672569431450191479922397828	1536	864	1536	759	
114191	1133	468	1133	568	0	1479922412042	210672569431450191479922397828	1536	864	1536	759	
114192	1094	469	1094	569	0	1479922412091	210672569431450191479922397828	1536	864	1536	759	
114193	1048	464	1048	564	0	1479922412139	210672569431450191479922397828	1536	864	1536	759	
114194	996	466	996	566	0	1479922412187	210672569431450191479922397828	1536	864	1536	759	
114195	916	474	916	574	0	1479922412235	210672569431450191479922397828	1536	864	1536	759	
114196	860	484	860	584	0	1479922412282	210672569431450191479922397828	1536	864	1536	759	
114197	808	488	808	588	0	1479922412323	210672569431450191479922397828	1536	864	1536	759	
114198	808	488	808	588	0	1479922412682	210672569431450191479922397828	1536	864	1536	759	
114199	797	481	797	581	0	1479922412723	210672569431450191479922397828	1536	864	1536	759	
114200	790	478	790	578	0	1479922412771	210672569431450191479922397828	1536	864	1536	759	
114201	785	474	785	574	0	1479922412962	210672569431450191479922397828	1536	864	1536	759	
114202	784	473	784	573	0	1479922413050	210672569431450191479922397828	1536	864	1536	759	
114203	780	472	780	572	0	1479922413091	210672569431450191479922397828	1536	864	1536	759	
114204	770	473	770	573	0	1479922413138	210672569431450191479922397828	1536	864	1536	759	
114205	764	474	764	574	0	1479922413187	210672569431450191479922397828	1536	864	1536	759	
114206	760	474	760	574	0	1479922413235	210672569431450191479922397828	1536	864	1536	759	
114207	760	476	760	576	0	1479922416670	210672569431450191479922397828	1536	864	1536	759	
114208	754	478	754	578	0	1479922416906	210672569431450191479922397828	1536	864	1536	759	
114209	784	446	784	546	0	1479922416949	210672569431450191479922397828	1536	864	1536	759	
114210	912	336	912	436	0	1479922416995	210672569431450191479922397828	1536	864	1536	759	
114211	976	278	976	378	0	1479922417043	210672569431450191479922397828	1536	864	1536	759	
114212	1026	226	1026	326	0	1479922417090	210672569431450191479922397828	1536	864	1536	759	
114213	1033	218	1033	318	0	1479922417138	210672569431450191479922397828	1536	864	1536	759	
114214	1042	204	1042	304	0	1479922417186	210672569431450191479922397828	1536	864	1536	759	
114215	1042	200	1042	300	0	1479922417232	210672569431450191479922397828	1536	864	1536	759	
114216	1042	198	1042	298	0	1479922417282	210672569431450191479922397828	1536	864	1536	759	
114217	1044	193	1044	293	0	1479922417329	210672569431450191479922397828	1536	864	1536	759	
114218	1044	188	1044	288	0	1479922417371	210672569431450191479922397828	1536	864	1536	759	
114219	1045	180	1045	280	0	1479922417418	210672569431450191479922397828	1536	864	1536	759	
114220	1045	172	1045	272	0	1479922417466	210672569431450191479922397828	1536	864	1536	759	
114221	1045	166	1045	266	0	1479922417522	210672569431450191479922397828	1536	864	1536	759	
114222	1046	164	1046	264	0	1479922417563	210672569431450191479922397828	1536	864	1536	759	
114223	1044	157	1044	257	0	1479922417610	210672569431450191479922397828	1536	864	1536	759	
114224	1044	149	1044	249	0	1479922417658	210672569431450191479922397828	1536	864	1536	759	
114225	1046	142	1046	242	0	1479922417699	210672569431450191479922397828	1536	864	1536	759	
114226	1048	132	1048	232	0	1479922417754	210672569431450191479922397828	1536	864	1536	759	
114227	1048	130	1048	230	0	1479922417796	210672569431450191479922397828	1536	864	1536	759	
114302	1048	129	1048	229	1	1479922417977	210672569431450191479922397828	1536	864	1536	759	
114303	1048	129	1048	229	0	1479922417981	210672569431450191479922397828	1536	864	1536	759	
114304	1049	129	1049	229	0	1479922418073	210672569431450191479922397828	1536	864	1536	759	
114305	1049	128	1049	228	0	1479922418380	210672569431450191479922397828	1536	864	1536	759	
114306	1034	125	1034	225	0	1479922418425	210672569431450191479922397828	1536	864	1536	759	
114307	1028	126	1028	226	0	1479922418498	210672569431450191479922397828	1536	864	1536	759	
114308	1013	126	1013	226	0	1479922418546	210672569431450191479922397828	1536	864	1536	759	
114309	993	128	993	228	0	1479922418587	210672569431450191479922397828	1536	864	1536	759	
114310	972	132	972	232	0	1479922418634	210672569431450191479922397828	1536	864	1536	759	
114311	948	130	948	230	0	1479922418683	210672569431450191479922397828	1536	864	1536	759	
114312	916	132	916	232	0	1479922418730	210672569431450191479922397828	1536	864	1536	759	
114313	897	122	897	222	0	1479922418771	210672569431450191479922397828	1536	864	1536	759	
114314	882	118	882	218	0	1479922418818	210672569431450191479922397828	1536	864	1536	759	
114315	845	128	845	228	0	1479922418867	210672569431450191479922397828	1536	864	1536	759	
114316	826	128	826	228	0	1479922418914	210672569431450191479922397828	1536	864	1536	759	
114317	822	133	822	233	0	1479922418955	210672569431450191479922397828	1536	864	1536	759	
114318	816	140	816	240	0	1479922419018	210672569431450191479922397828	1536	864	1536	759	
114319	813	146	813	246	0	1479922419066	210672569431450191479922397828	1536	864	1536	759	
114320	810	150	810	250	0	1479922419114	210672569431450191479922397828	1536	864	1536	759	
114321	808	152	808	252	0	1479922419155	210672569431450191479922397828	1536	864	1536	759	
114322	808	153	808	253	0	1479922419252	210672569431450191479922397828	1536	864	1536	759	
114323	808	154	808	254	0	1479922419403	210672569431450191479922397828	1536	864	1536	759	
114324	808	152	808	252	0	1479922419458	210672569431450191479922397828	1536	864	1536	759	
114325	808	152	808	252	0	1479922419578	210672569431450191479922397828	1536	864	1536	759	
114326	808	154	808	254	0	1479922419754	210672569431450191479922397828	1536	864	1536	759	
115388	808	154	808	254	0	1479922648753	210672569431450191479922397828	1536	864	1536	759	
115400	808	154	808	254	0	1479922663923	210672569431450191479922397828	1536	864	1536	759	
115401	800	178	800	278	0	1479922663970	210672569431450191479922397828	1536	864	1536	759	
115402	790	204	790	304	0	1479922664017	210672569431450191479922397828	1536	864	1536	759	
115403	781	216	781	316	0	1479922664074	210672569431450191479922397828	1536	864	1536	759	
115404	780	216	780	316	0	1479922664115	210672569431450191479922397828	1536	864	1536	759	
115405	770	216	770	316	0	1479922664162	210672569431450191479922397828	1536	864	1536	759	
115406	764	216	764	316	0	1479922664203	210672569431450191479922397828	1536	864	1536	759	
115407	754	218	754	318	0	1479922664250	210672569431450191479922397828	1536	864	1536	759	
115408	733	222	733	322	0	1479922664299	210672569431450191479922397828	1536	864	1536	759	
